@relation 'matchadata-v2-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,7,8,9,10,11,12,13,14,15,16,17,18,19,6-weka.filters.unsupervised.attribute.Remove-R3'

@attribute league {LCK,TCL,NAAc,EULCS,NALCS,LMS,CBLoL,LPL}
@attribute side {Blue,Red}
@attribute team {'Kingzone DragonX','KSV Esports','Kongdoo Monster',MVP,YouthCREW,'HWA Gaming','Afreeca Freecs','KT Rolster','SK Telecom T1','ROX Tigers','BBQ Olivers','Fenerbahce Esports','Dark Passage','Jin Air Green Wings','OpTic Academy','Team Liquid Academy','FlyQuest Academy','TSM Academy','CLG Academy','100 Thieves Academy','Golden Guardians Academy','Cloud9 Academy','Echo Fox Academy','Clutch Gaming Academy','G2 Esports',Misfits,H2K,Vitality,'Unicorns of Love','Giants Gaming',Roccat,'Schalke 04',Fnatic,Splyce,'Team Liquid','Team SoloMid','100 Thieves','OpTic Gaming','Clutch Gaming','Golden Guardians','Echo Fox',FlyQuest,'Counter Logic Gaming',Cloud9,'J Team','MAD Team','Hong Kong Attitude','AHQ e-Sports Club','INTZ e-Sports Club','Vivo Keyd','CNB e-Sports Club','KaBuM e-Sports','paiN Gaming','Team One e-Sports','Red Canids','ProGaming Esports',SuperMassive,'Royal Bandits e-sports',Galakticos,'Team AURORA','Team WE','Bilibili Gaming','Vici Gaming','Snake Esports','EDward Gaming','Funplus Phoenix',OMG,'Invictus Gaming','Royal Never Give Up','JD Gaming','LGD Gaming','Rogue Warriors','Topsports Gaming','Suning Gaming','Machi 17','Flash Wolves','Team Afro',G-Rex}
@attribute gamelength numeric
@attribute k numeric
@attribute d numeric
@attribute a numeric
@attribute teamdragkills numeric
@attribute elders numeric
@attribute herald numeric
@attribute teamtowerkills numeric
@attribute teambaronkills numeric
@attribute dmgtochamps numeric
@attribute wards numeric
@attribute totalgold numeric
@attribute earnedgpm numeric
@attribute cspm numeric
@attribute result {lose,win}

@data
LPL,Blue,'LGD Gaming',26.7,6,14,15,0,?,?,2,?,?,?,45211,?,?,lose
LPL,Blue,OMG,33.433333,6,15,13,1,?,?,2,?,?,?,56103,?,?,lose
LPL,Blue,OMG,29.5,2,14,6,0,?,?,0,?,?,?,46977,?,?,lose
LPL,Blue,'Rogue Warriors',37.533333,5,14,7,1,?,?,3,?,?,?,65528,?,?,lose
LPL,Blue,'Rogue Warriors',23.466667,4,20,6,0,?,?,1,?,?,?,38415,?,?,lose
LPL,Red,'Topsports Gaming',29.166667,7,10,16,1,?,?,0,?,?,?,44296,?,?,lose
LPL,Red,'Topsports Gaming',30,1,11,2,0,?,?,1,?,?,?,46000,?,?,lose
LPL,Blue,'LGD Gaming',21.366667,3,17,1,0,?,?,0,?,?,?,32785,?,?,lose
LPL,Red,'Suning Gaming',27.266667,4,15,8,0,?,?,1,?,?,?,43853,?,?,lose
LPL,Blue,'LGD Gaming',30.233333,2,12,1,1,?,?,1,?,?,?,49331,?,?,lose
LPL,Blue,'Topsports Gaming',36.366667,8,20,20,1,?,?,3,?,?,?,61655,?,?,lose
LPL,Blue,'Topsports Gaming',41.316667,15,21,32,3,?,?,6,?,?,?,77154,?,?,lose
LPL,Blue,'Topsports Gaming',32.716667,3,15,8,1,?,?,3,?,?,?,55602,?,?,lose
LPL,Blue,'Topsports Gaming',33.066667,6,21,10,0,?,?,5,?,?,?,59475,?,?,lose
LCK,Red,MVP,31.166667,5,14,12,1,0,0,0,0,42125,153,49636,936.385027,35.486631,lose
LCK,Blue,MVP,39.65,6,13,19,1,0,0,1,0,97833,256,68356,1077.230769,37.099622,lose
LCK,Red,'SK Telecom T1',35.066667,1,9,3,1,0,0,0,0,57714,182,57226,980.623574,37.671103,lose
LCK,Red,'KT Rolster',31.416667,3,15,7,1,0,1,3,0,42281,126,53990,1062.65252,38.769231,lose
LCK,Red,'SK Telecom T1',42.25,10,12,32,3,1,?,6,1,102685,214,80966,1271.739645,37.893491,lose
LCK,Red,'Kongdoo Monster',35.533333,6,14,11,2,0,?,1,0,55879,171,60918,1063.609756,39.512195,lose
LCK,Red,'ROX Tigers',48.583333,11,12,34,5,1,1,10,3,97163,260,100023,1418.428816,39.005146,lose
LCK,Red,'Kongdoo Monster',53.116667,7,16,20,0,0,?,4,1,74438,269,88456,1027.372451,33.850016,lose
LCK,Blue,'KSV Esports',47.55,1,3,2,1,0,0,1,0,72947,246,86931,1187.221872,42.818086,lose
LCK,Blue,'Afreeca Freecs',71.633333,12,15,37,5,3,1,11,5,186381,484,147262,1424.537925,36.924151,lose
